"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.9473382399192e-273,-0.731223411096895,0.083,0.501,4.34081167060388e-269,"0","BOD1L1"
3.42584918820654e-273,-1.14569045860855,0.032,0.399,7.6365604254312e-269,"0","MCUB"
1.49629298830307e-271,-1.49770883438705,0.087,0.499,3.33538670022638e-267,"0","LCP1"
3.98569771282399e-269,1.00760112345609,0.854,0.951,8.88451877165595e-265,"0","H3F3A"
7.93137433332545e-269,-1.16959195937551,0.159,0.61,1.76798265264158e-264,"0","ARHGDIB"
2.19716460999557e-268,-1.3669842895948,0.034,0.397,4.89769963214112e-264,"0","MT-ATP8"
2.94539873501641e-267,2.5492155745801,0.63,0.506,6.56558832022507e-263,"0","RAB11FIP1"
4.46406798552406e-267,-0.503245561606162,0.083,0.499,9.95085394653169e-263,"0","HMGN3"
8.1401196022095e-267,-1.61194446792412,0.032,0.394,1.81451406052852e-262,"0","PLAUR"
1.27655145476974e-265,-0.92224404099325,0.083,0.492,2.84556084782723e-261,"0","PLP2"
1.28365746436455e-264,-0.853137959275708,0.081,0.49,2.86140085381501e-260,"0","ISG15"
2.18987807719557e-264,-1.74967874892558,0.035,0.394,4.88145722187665e-260,"0","ZFP36"
2.57242115796232e-264,-1.19620456133817,0.036,0.399,5.73418400321382e-260,"0","CASP4"
3.29628586613363e-264,-0.454396979304494,0.184,0.689,7.34775082419847e-260,"0","SSR2"
4.5271867813395e-263,-0.957790545035946,0.077,0.478,1.00915520542839e-258,"0","TMEM165"
7.33962885597818e-263,-0.63334726224115,0.115,0.555,1.6360766682861e-258,"0","SLC3A2"
2.26402494213255e-262,-0.544872838413104,0.062,0.451,5.04673799850766e-258,"0","DNAJC8"
4.55340291766797e-262,-0.862793368205472,0.052,0.43,1.01499904437737e-257,"0","RHOG"
8.13289041659459e-262,-0.832429164961385,0.048,0.422,1.8129026027631e-257,"0","LEPROT"
1.06777845413821e-260,-3.14795784110801,0.026,0.37,2.38018495211947e-256,"0","CLIC3"
